time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-02 05:50:00+00:00,182,68.6,52.8,1.098,1.256,1.098,1.256
2021-01-02 06:00:00+00:00,182,68.8,52.8,0.398,0.388,0.398,0.388
2021-01-02 06:10:00+00:00,182,68.6,53.4,0.33,0.572,0.33,0.572
2021-01-02 06:20:00+00:00,182,68.6,53.8,0.53,0.738,0.53,0.738
2021-01-02 06:30:00+00:00,182,68.8,54.0,0.45,0.488,0.45,0.488
2021-01-02 06:40:00+00:00,182,68.4,54.0,0.516,0.868,0.516,0.868
2021-01-02 06:50:00+00:00,182,68.6,54.0,5.404,6.662,5.404,6.662
2021-01-02 07:00:00+00:00,182,68.6,54.0,1.454,1.872,1.454,1.872
2021-01-02 07:10:00+00:00,182,68.0,53.2,2.732,2.98,2.732,2.98
2021-01-02 07:20:00+00:00,182,69.0,53.0,5.34,6.952,5.34,6.952
2021-01-02 07:30:00+00:00,182,69.4,52.8,2.55,2.812,2.55,2.812
2021-01-02 07:40:00+00:00,182,69.8,52.8,0.866,1.274,0.866,1.274
2021-01-02 07:50:00+00:00,182,70.2,53.0,1.158,1.468,1.158,1.468
2021-01-02 08:00:00+00:00,182,70.0,53.0,1.548,2.352,1.548,2.352
2021-01-02 08:10:00+00:00,182,69.6,53.0,1.414,1.48,1.414,1.48
2021-01-02 08:20:00+00:00,182,69.4,52.8,0.474,0.784,0.474,0.784
2021-01-02 08:30:00+00:00,182,69.8,52.6,0.498,0.804,0.498,0.804
2021-01-02 08:40:00+00:00,182,69.8,52.6,0.436,0.662,0.436,0.662
2021-01-02 08:50:00+00:00,182,69.2,52.8,0.574,0.522,0.574,0.522
2021-01-02 09:00:00+00:00,182,69.4,53.0,0.644,0.89,0.644,0.89
2021-01-02 09:10:00+00:00,182,69.0,53.0,0.322,0.45,0.322,0.45
2021-01-02 09:20:00+00:00,182,68.8,53.0,0.226,0.422,0.226,0.422
2021-01-02 09:30:00+00:00,182,69.0,53.0,0.22,0.124,0.22,0.124
2021-01-02 09:40:00+00:00,182,69.2,52.2,0.328,0.25,0.328,0.25
2021-01-02 09:50:00+00:00,182,69.8,52.2,0.52,0.642,0.52,0.642
