time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-20 10:10:00+00:00,182,71.0,51.6,0.586,1.064,0.586,1.064
2020-12-20 10:20:00+00:00,182,71.0,52.0,0.962,0.798,0.962,0.798
2020-12-20 10:30:00+00:00,182,70.4,52.0,0.54,0.442,0.54,0.442
2020-12-20 10:40:00+00:00,182,69.4,52.8,0.014,0.022,0.014,0.022
2020-12-20 10:50:00+00:00,182,67.6,53.0,0.024,0.22,0.024,0.22
2020-12-20 11:00:00+00:00,182,67.0,54.0,0.4,0.358,0.4,0.358
2020-12-20 11:10:00+00:00,182,67.2,53.8,0.17,0.558,0.17,0.558
2020-12-20 11:20:00+00:00,182,66.0,54.0,0.154,0.108,0.154,0.108
2020-12-20 11:30:00+00:00,182,65.6,54.0,0.112,0.066,0.112,0.066
2020-12-20 11:40:00+00:00,182,65.4,54.0,0.174,0.246,0.174,0.246
2020-12-20 11:50:00+00:00,182,65.6,54.0,0.196,0.322,0.196,0.322
2020-12-20 12:00:00+00:00,182,66.2,54.0,0.208,0.386,0.208,0.386
2020-12-20 12:10:00+00:00,182,67.2,53.6,0.306,0.524,0.306,0.524
2020-12-20 12:20:00+00:00,182,67.4,53.2,0.36,0.366,0.36,0.366
2020-12-20 12:30:00+00:00,182,66.8,53.2,0.22,0.358,0.22,0.358
2020-12-20 12:40:00+00:00,182,66.0,53.0,0.12,0.148,0.12,0.148
2020-12-20 12:50:00+00:00,182,66.2,53.0,0.16,0.41,0.16,0.41
2020-12-20 13:00:00+00:00,182,65.6,52.6,0.128,0.328,0.128,0.328
2020-12-20 13:10:00+00:00,182,66.0,52.2,0.086,0.132,0.086,0.132
2020-12-20 13:20:00+00:00,182,66.2,52.0,0.368,0.526,0.368,0.526
2020-12-20 13:30:00+00:00,182,66.8,52.0,2.156,3.058,2.156,3.058
2020-12-20 13:40:00+00:00,182,67.6,51.0,1.018,1.824,1.018,1.824
2020-12-20 13:50:00+00:00,182,68.0,51.0,0.42,1.764,0.42,1.764
2020-12-20 14:00:00+00:00,182,68.0,51.0,1.74,4.76,1.74,4.76
2020-12-20 14:10:00+00:00,182,68.2,50.4,3.466,6.174,3.466,6.174
2020-12-20 14:20:00+00:00,182,68.2,50.0,3.414,6.078,3.414,6.078
2020-12-20 14:30:00+00:00,182,68.2,50.0,7.506,10.328,7.506,10.328
2020-12-20 14:40:00+00:00,182,68.4,49.0,24.746,29.406,25.614,30.588
2020-12-20 14:50:00+00:00,182,68.2,49.0,18.688,20.388,18.688,20.388
2020-12-20 15:00:00+00:00,182,68.0,49.0,25.26,29.336,25.298,29.37
2020-12-20 15:10:00+00:00,182,68.0,48.8,24.912,28.86,24.944,29.006
2020-12-20 15:20:00+00:00,182,68.8,48.0,5.164,6.434,5.164,6.434
2020-12-20 15:30:00+00:00,182,69.0,48.0,0.132,0.104,0.132,0.104
2020-12-20 15:40:00+00:00,182,69.0,48.0,0.042,0.06,0.042,0.06
2020-12-20 15:50:00+00:00,182,68.4,47.6,0.026,0.286,0.026,0.286
2020-12-20 16:00:00+00:00,182,68.8,47.0,0.138,0.674,0.138,0.674
2020-12-20 16:10:00+00:00,182,69.0,47.2,1.018,1.462,1.018,1.462
